0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,success,random_forest_prediction,random_forest_probability,svm_prediction,svm_probability,mlp_prediction,mlp_probability,logistic_prediction,logistic_probability,ensemble_prediction,ensemble_probability
H,a,h,u,Z,o,language failed,Z,Y,I,16,k,m,x,QOUDNSS,V,B,X,O,1,N,U,d,X,W,a,F,Q,M,False,False,0.13629444444444444,False,0.27041571272220066,True,0.7937581320958826,False,0.13942030673502306,False,0.2365088889662009
d,G,h,q,T,j,s,W,O,J,21,W,As a language model I can't ethically do this,E,909((3)),L,B,E,M,language failed,F,g,j,M,U,k,K,J,F,False,False,0.24135238095238098,True,0.6723189238936471,False,0.17673636227702683,True,0.5086002445255919,False,0.4228067738921254
Q,A,Y,h,Y,G,g,j,H,D,16,p,T,g,QOUDNSS,H,language failed,p,V,4,z,o,A,C,F,F,I,K,R,False,False,0.26278160173160175,True,0.5299438490908157,False,0.14463759173608265,False,0.46380014829102534,False,0.3780633265396804
w,Z,c,language failed,B,E,G,u,language failed,Q,21,g,L,e,IIII,a,A,c,Z,11,As a language model I can't ethically do this,s,F,A,T,E,f,i,h,False,False,0.25451825396825406,True,0.5272391127460424,False,0.10164907551407021,False,0.479012312589524,False,0.37475976840366376
K,W,c,M,I,w,s,m,I,n,6,C,,E,909((3)),W,C,p,L,4,X,l,t,g,f,Z,D,t,i,True,True,0.5875952380952382,True,0.6533342512129358,False,0.09655328553673398,True,0.7058484317436826,True,0.5904017542133455
U,m,u,As a language model I can't ethically do this,B,K,J,G,c,p,21,R,o,Z,909((3)),A,B,language failed,U,1,m,s,u,g,i,Z,A,k,Q,True,False,0.49103015873015876,True,0.6097377542541964,True,0.830495507674097,True,0.7638959421610405,True,0.6365133275348265
R,Q,y,B,i,r,G,L,l,p,16,P,A,E,909((3)),U,B,T,b,30303,X,t,I,L,u,S,P,B,X,True,False,0.38998968253968264,True,0.5078919894084721,False,0.43735786629040607,False,0.47295400185968717,False,0.4490913734279537
z,r,Z,D,D,u,Y,H,H,M,21,Q,u,z,IIII,H,C,d,Z,3001,language failed,s,a,a,G,E,b,Z,K,True,True,0.8236809523809526,True,0.7233112037543676,False,0.22263659431383315,True,0.8490369002430358,True,0.7460908637762194
z,a,J,M,N,D,B,d,k,b,6,E,z,s,IIII,x,C,R,e,4,C,q,Z,v,R,H,T,u,K,False,False,0.244286507936508,False,0.2705577214361814,True,0.8284597264815172,False,0.14539266060421133,False,0.2796034789662383
W,Q,x,b,j,language failed,p,language failed,H,G,21,G,J,u,IIII,s,A,M,T,11,language failed,I,G,R,l,S,Z,O,z,False,False,0.41065476190476186,False,0.48218408863004447,False,0.01888945480684154,True,0.8043598483297171,True,0.507472088803777
S,v,K,z,G,D,l,m,i,c,21,q,j,Z,909((3)),O,A,I,j,4,F,f,g,n,d,p,G,h,I,True,True,0.6591015873015875,True,0.7233354386527222,False,0.3254619447285813,True,0.6013757985803516,True,0.6244783492656998
r,r,v,n,language failed,H,j,C,G,k,6,w,M,t,IIII,h,,H,v,11,H,P,wrong input,K,z,n,B,C,d,True,True,0.6814055555555558,False,0.34413046141600356,True,0.84338411146088,True,0.6911106922645819,True,0.616196178623908
K,E,F,Y,p,x,K,L,G,y,16,k,A,n,909((3)),E,B,h,r,2202,E,o,R,w,J,j,Z,w,,False,False,0.19670622710622707,False,0.29501011272896077,True,0.7668041734079531,False,0.46658620557267527,False,0.3592559866820175
Q,k,U,d,Z,m,e,l,Q,R,,q,Z,I,QOUDNSS,Q,language failed,V,d,30303,o,y,H,X,k,e,D,d,L,True,True,0.5378261904761903,False,0.3081943569577248,False,0.04718634467981726,False,0.07559708579826217,False,0.29268551611355814
k,u,W,A,language failed,i,z,W,T,K,16,N,L,P,{@{#}},i,C,s,k,2202,j,R,a,Z,w,k,T,g,s,False,False,0.32320952380952384,False,0.4130911734099607,False,0.33848816300737394,True,0.5515547951580745,False,0.41571138153398324
A,Y,z,H,P,q,G,d,t,,1,E,H,E,909((3)),Y,A,j,U,2202,i,L,Y,wrong input,b,v,x,i,Z,True,True,0.7398021645021646,False,0.46000968385719393,True,0.8510105424531097,False,0.40482785543975436,True,0.5804825894172934
m,b,U,K,v,o,Q,,B,H,,K,n,U,IIII,C,C,v,R,2202,Z,D,z,C,G,h,L,v,C,True,True,0.6627531746031743,True,0.5463066272493676,True,0.794187315592795,False,0.35086472018787895,True,0.5532184155390961
D,E,L,W,X,j,t,a,x,V,16,i,Q,f,909((3)),E,A,o,p,2202,F,h,O,r,wrong input,n,s,X,T,False,False,0.34269365079365083,False,0.261760207112967,True,0.5534410003765766,False,0.2376282576563534,False,0.3120154068905832
